model,split,metric,point_estimate,ci_low_2.5pct,ci_high_97.5pct,bootstrap_median,n_boot,seed,n_sequences,n_positive,n_clusters,n_positive_containing_clusters,n_negative_only_clusters,threshold
kmer13_LR,test_easy,AUROC,0.9679926840420667,0.8697808503783276,0.9909915110267976,0.9652213410010111,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,AUPRC,0.9743262480242558,0.7576743791558852,0.9957170296756451,0.9713836793385622,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,MCC,0.7683064754997451,0.48663608437561867,0.8754526695674127,0.7499362132907752,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,F1,0.8875739644970414,0.6213555457487496,0.9573040574638065,0.8782051282051282,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,Precision,0.8522727272727273,0.5396773182957393,0.946183453816783,0.8409492451011886,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,Recall,0.9259259259259259,0.6938033395176252,0.9780701754385965,0.9192546583850931,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_easy,Specificity,0.8395061728395061,0.7343609487410072,0.92,0.8421052631578947,2000,42,324,162,137,40,97,0.452
kmer13_LR,test_hard,AUROC,0.27907732293697207,0.144815009293305,0.6668803496846226,0.2941339956542174,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,AUPRC,0.010576273703615725,0.00529454761696552,0.028818605167527656,0.012240902914694709,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,MCC,-0.10001729969716006,-0.22694201174379006,0.048200629187155244,-0.09445541845107626,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,F1,0.01284796573875803,0.0056174534630219685,0.021792067518243793,0.01275239107332625,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,Precision,0.006557377049180328,0.0028842017208413006,0.011075463329897452,0.006486486486486486,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,Recall,0.3157894736842105,0.07894736842105263,0.9166666666666666,0.3333333333333333,2000,42,1315,19,608,8,600,0.452
kmer13_LR,test_hard,Specificity,0.2986111111111111,0.2396904642607108,0.36512979181733746,0.2982382240352355,2000,42,1315,19,608,8,600,0.452
ESM2-t6_mean_LR,test_hard,AUROC,0.5465399610136452,0.34869476732107324,0.6146173890472119,0.5443671355150639,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,AUPRC,0.019084955007113824,0.005731120327341535,0.05277149474562057,0.01896064664916318,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,MCC,0.010051340049340515,0.004983664575424596,0.016126415162534036,0.009382386496832568,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,F1,0.028679245283018868,0.01139520202020202,0.05961371005094948,0.027798098024871983,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,Precision,0.01454823889739663,0.005730249693000409,0.030722599449862973,0.014094955489614243,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,Recall,1.0,1.0,1.0,1.0,2000,42,1315,19,608,8,600,0.008
ESM2-t6_mean_LR,test_hard,Specificity,0.006944444444444444,0.0028242162944337036,0.0118672150453731,0.006778616706872605,2000,42,1315,19,608,8,600,0.008
