split,label,pos,neg,AUROC,AUPRC,F1@0.5
valid,VIP,12,99,0.9595959595959596,0.9210875331564988,0.7368421052631579
valid,VEIP,46,65,0.9602006688963212,0.9648725278822438,0.8536585365853658
valid,VINIP,29,82,0.9495374264087468,0.8222005156061116,0.8
valid,MAP,4,107,1.0,1.0,0.8571428571428571
valid,PIP,1,110,0.9727272727272728,0.25,0.0
valid,RTIP,14,97,0.9631811487481592,0.76603640062491,0.8148148148148148
valid,SFIP,13,98,0.9631083202511773,0.8674241299241296,0.7
test_hom40,VIP,10,99,1.0,0.9999999999999999,0.8888888888888888
test_hom40,VEIP,39,70,0.9439560439560439,0.9246480836117565,0.8235294117647058
test_hom40,VINIP,22,87,0.9472309299895507,0.8498757174269065,0.75
test_hom40,MAP,6,103,0.9951456310679612,0.9444444444444444,0.75
test_hom40,PIP,6,103,0.7491909385113268,0.3464719930525402,0.2857142857142857
test_hom40,RTIP,19,90,0.9947368421052631,0.9695861940912451,0.918918918918919
test_hom40,SFIP,10,99,0.9363636363636364,0.8053571428571428,0.6666666666666666
