split,label,pos,neg,AUROC,AUPRC,F1@0.5
valid,VIP,12,99,0.8813131313131313,0.7555152800877493,0.5882352941176471
valid,VEIP,46,65,0.9725752508361204,0.9705771674942515,0.8936170212765957
valid,VINIP,29,82,0.9133725820016823,0.8016529138139182,0.7868852459016393
valid,MAP,4,107,1.0,1.0,0.8571428571428571
valid,PIP,1,110,0.5,0.017857142857142856,0.0
valid,RTIP,14,97,0.9668630338733432,0.7830666931230841,0.6666666666666666
valid,SFIP,13,98,0.8956043956043955,0.642023416780926,0.5217391304347826
test_hom40,VIP,10,99,0.9848484848484849,0.8939213564213563,0.6666666666666666
test_hom40,VEIP,39,70,0.8890109890109891,0.8605855482551242,0.7567567567567568
test_hom40,VINIP,22,87,0.938871473354232,0.8029907796377342,0.6808510638297872
test_hom40,MAP,6,103,1.0,1.0,1.0
test_hom40,PIP,6,103,0.5647249190938511,0.13176221413958755,0.0
test_hom40,RTIP,19,90,0.9830409356725146,0.9658749336948191,0.9444444444444444
test_hom40,SFIP,10,99,0.8909090909090909,0.5035832004253056,0.5454545454545454
