split,label,pos,neg,AUROC,AUPRC,F1@0.5
valid,VIP,12,99,0.8998316498316499,0.8281664212076584,0.8571428571428571
valid,VEIP,46,65,0.9872909698996656,0.985355548393798,0.9333333333333333
valid,VINIP,29,82,0.9146341463414633,0.7570052685009172,0.8064516129032258
valid,MAP,4,107,1.0,1.0,1.0
valid,PIP,1,110,0.9636363636363636,0.2,0.0
valid,RTIP,14,97,0.9631811487481591,0.724201195629767,0.7741935483870968
valid,SFIP,13,98,0.8579277864992151,0.7008440834527789,0.6956521739130435
test_hom40,VIP,10,99,0.993939393939394,0.9625,0.8235294117647058
test_hom40,VEIP,39,70,0.9219780219780219,0.9045320288085893,0.7777777777777778
test_hom40,VINIP,22,87,0.9211076280041797,0.7806478313145808,0.7083333333333334
test_hom40,MAP,6,103,1.0,1.0,0.75
test_hom40,PIP,6,103,0.4741100323624596,0.17408605008268369,0.25
test_hom40,RTIP,19,90,0.9929824561403509,0.969590675605422,0.8648648648648649
test_hom40,SFIP,10,99,0.9212121212121211,0.6219894330420646,0.43478260869565216
